# Nyra comparison — runtime + memory benchmark
# Generated: 2026-07-01T14:14:09Z
# Runs per command: 5 (warmup 1 discarded); micro=9 concurrency=11
# Time: median wall clock in milliseconds (lower is better)
# Nyra parity: Zero/Explicit measured interleaved per suite (same OS/thermal window)
# Parity summary excludes startup-dominated suites (hello, arithmetic) — see HTML report
# Memory: peak max RSS in KB during timed runs (lower is better)
# Binary size: hello-world release / stripped / UPX (see binary-size.tsv)
# Platform: Darwin arm64
# Nyra build: release; cpu_bound_pgo=release+pgo; Nyra flags: --no-prelude (single-file suites), prelude (multi-file/struct_sum), -march=native
# Isolation: Nyra variants per suite (interleaved pairs); other langs isolated (BENCH_LANG_COOLDOWN=2s)
# Compiled langs: -O3 -flto=thin (Nyra --release, clang/clang++/rustc aligned)
# Note: Nyra/C/C++/Go/Rust/Java = compiled; Node/Python = runtime interpreters


Nyra appears twice:

  • Nyra (Zero Types)
  • Nyra (Explicit Types)

Both generate native code. Zero/Explicit pairs are measured interleaved per suite
(median wall time) so OS startup noise does not skew the comparison.

The hot-path parity table (HTML) excludes hello/arithmetic where process spawn
dominates and LLVM output is identical — see full matrix for all suites.

| Suite        | Language               | Time (ms) | Memory     |
| concurrency_worker_pool | Nyra (Zero Types)      | 10746.2215 |    3248 KB |
| concurrency_worker_pool | Nyra (Explicit Types)  | 10840.9680 |    3248 KB |
| concurrency_parallel_map | Nyra (Zero Types)      |     3.9688 |    1152 KB |
| concurrency_parallel_map | Nyra (Explicit Types)  |     3.9885 |    1152 KB |
| cpu_bound_pgo | Nyra (Zero Types)      |   808.4120 |    1088 KB |
| cpu_bound_pgo | Nyra (Explicit Types)  |   808.1502 |    1088 KB |
| hello        | C                      |     3.7840 |    1056 KB |
| arithmetic   | C                      |     2.3392 |    1056 KB |
| dungeon      | C                      |     2.0664 |    1056 KB |
| loop         | C                      |  1295.7243 |    1056 KB |
| fib          | C                      |  1294.8507 |    1056 KB |
| nested       | C                      |    57.9483 |    1056 KB |
| struct_sum   | C                      |     3.2452 |    1056 KB |
| loop_nofold  | C                      |  1294.4792 |    1072 KB |
| comptime_table | C                      |     6.5883 |    1056 KB |
| cpu_bound    | C                      |   474.4799 |    1072 KB |
| mix          | C                      |  1791.5001 |    1056 KB |
| memory_alloc_struct | C                      |     7.0466 |    1056 KB |
| memory_free_struct | C                      |     4.5751 |    1056 KB |
| memory_arena | C                      |     4.4523 |    1056 KB |
| memory_ownership | C                      |     6.0611 |    1056 KB |
| hello        | C++                    |     2.9072 |    1072 KB |
| arithmetic   | C++                    |     3.7319 |    1088 KB |
| dungeon      | C++                    |     3.7763 |    1088 KB |
| loop         | C++                    |  1295.6858 |    1088 KB |
| fib          | C++                    |  1294.5273 |    1088 KB |
| nested       | C++                    |    57.3690 |    1088 KB |
| struct_sum   | C++                    |     3.9165 |    1120 KB |
| loop_nofold  | C++                    |  1294.9024 |    1088 KB |
| comptime_table | C++                    |     6.9483 |    1120 KB |
| cpu_bound    | C++                    |   474.6088 |    1088 KB |
| mix          | C++                    |  1791.7758 |    1088 KB |
| hello        | Go                     |     4.5957 |    3648 KB |
| arithmetic   | Go                     |     3.6413 |    3600 KB |
| dungeon      | Go                     |     5.1736 |    3600 KB |
| loop         | Go                     |  1297.7865 |    3680 KB |
| fib          | Go                     |  1296.0676 |    3504 KB |
| nested       | Go                     |    58.9069 |    3632 KB |
| struct_sum   | Go                     |    28.1183 |    3680 KB |
| loop_nofold  | Go                     |  1296.4298 |    3744 KB |
| comptime_table | Go                     |     8.4034 |    3696 KB |
| cpu_bound    | Go                     |   581.8674 |    3680 KB |
| mix          | Go                     |  1795.4446 |    3536 KB |
| memory_alloc_struct | Go                     |     8.6220 |    3648 KB |
| memory_free_struct | Go                     |     5.4359 |    3600 KB |
| memory_arena | Go                     |     6.1412 |    3600 KB |
| memory_ownership | Go                     |     8.2642 |    3632 KB |
| strings_concat | Go                     |   299.3988 |   17360 KB |
| collections_hashmap | Go                     |     5.5177 |    3920 KB |
| collections_vec_push | Go                     |     5.6903 |    8176 KB |
| algorithms_json_parse | Go                     |     5.5624 |    3680 KB |
| concurrency_spawn_tasks | Go                     |     4.3720 |    3696 KB |
| concurrency_channel_pingpong | Go                     |    18.9114 |    3664 KB |
| hello        | Rust                   |     3.7195 |    1216 KB |
| arithmetic   | Rust                   |     3.6457 |    1280 KB |
| dungeon      | Rust                   |     4.0963 |    1216 KB |
| loop         | Rust                   |  1551.9988 |    1280 KB |
| fib          | Rust                   |  1549.7280 |    1280 KB |
| nested       | Rust                   |    71.2723 |    1280 KB |
| struct_sum   | Rust                   |     3.8774 |    1248 KB |
| loop_nofold  | Rust                   |  1546.3965 |    1280 KB |
| comptime_table | Rust                   |     4.9705 |    1216 KB |
| cpu_bound    | Rust                   |   878.1614 |    1280 KB |
| mix          | Rust                   |  1986.9194 |    1280 KB |
| memory_alloc_struct | Rust                   |     5.0735 |    1280 KB |
| collections_vec_push | Rust                   |    10.1980 |    3216 KB |
| concurrency_channel_pingpong | Rust                   |    11.0895 |    5440 KB |

# Binary size — hello world (lower is better)
# release: optimized build as produced by the toolchain
# stripped: same binary after strip (strip -x on macOS)
# upx: UPX --best (— if UPX unavailable or unsupported for this format)

| Language               |   Release |  Stripped |       UPX |
|------------------------|-----------|-----------|-----------|
| Nyra (Zero Types)      |    32.7 KB |    32.7 KB |        — |
| Nyra (Explicit Types)  |    32.7 KB |    32.7 KB |        — |
| C                      |    32.6 KB |    32.7 KB |        — |
| C++                    |    34.4 KB |    34.3 KB |        — |
| Go                     |  2315.8 KB |  2213.8 KB |        — |
| Rust                   |   445.5 KB |   358.0 KB |        — |
| Java                   |      414 B |      414 B |        — |
| Node                   |       27 B |        — |        — |
| Python                 |       20 B |        — |        — |

========================================================================
NYRA ZERO TYPES vs EXPLICIT TYPES — same algorithm, annotations optional
========================================================================

Nyra appears twice:

  • Nyra (Zero Types)
  • Nyra (Explicit Types)

Both generate native code. Zero/Explicit pairs are measured interleaved per suite
(median wall time). Hot-path parity excludes hello/arithmetic (spawn-dominated).

   Hot-path parity (excludes hello, arithmetic — spawn-dominated):

